,text,source,true_label,predict
0,Drasko in #MKR looks unnervingly like crazy Clay from TV show #Banshee,CallMe,0,0
1,"Shorter MENTION318: “LOOK. LOOK. LOOK AT ME.”

https://t.co/l5wjGQv2mD",CallMe,0,0
2,I think kids that smoke weed is so unattractive.,CallMe,0,0
3,Rigged.  #mkr,CallMe,0,0
4,MENTION770 Yeah it's hilarious how women's contributions to science are minimized and stolen. I'm glad you see the humor.,CallMe,0,0
5,Feeling a whole lot of gozleme pain for Sherri & Em #MKR,CallMe,0,0
6,"""He's the best salesman I've ever met. He could sell ice to an Eskimo."" #fuckthanksgiving",CallMe,0,0
7,If only this Sasquatch had wings to help these girls fly out of the whole they've dug for themselves #mkr MENTION786,CallMe,0,0
8,I liked a MENTION1603 video from MENTION3405 https://t.co/HfTiFLfcqw You've got a strong grip,CallMe,0,0
9,Women shop more than men because they can’t decide what to buy,CallMe,1,1
10,"In the past 12h, MENTION720 is seeing the most targeted abuse, with 194 (36 OC/158 RT) GG hashtaged tweets mentioning her. Congrats!",CallMe,0,0
11,"In forcible rape, the victim never causes the crime",CallMe,0,0
12,RT MENTION2615 watching women play rugby is just plain wrong #weird,CallMe,1,1
13,"MENTION1075 Couldn't give a fuck about football , I'm sure some people do… https://t.co/pF33NAIwMi",CallMe,0,0
14,Blondie's One Way or Another really is a creepy song.,CallMe,0,0
15,"Today in ""things GamerGate does to try to stop OAPI"", they link to quotes of things I used to believe that I admitted to on my own blog.",CallMe,0,0
16,"#mkr hey Pete, maybe what those kids need is some liver milk! http://t.co/On9xzxiMOr",CallMe,0,0
17,"MENTION2721 MENTION1007 um. that's BASIC. DOS has batch files, but they aren't BASIC. :P",CallMe,0,0
18,I will stop watching baseball if a kid makes it to the MLB,CallMe,0,0
19,I don't think women should telecast a nba game,CallMe,1,1
20,"Letting the red ranger not be in charge in PRSS is just, not right. The red ranger is always the leader, no exceptions.",CallMe,0,0
21,A caring type is the only person who can multitask keeping everyone happy & content. I believe every caretaker is a leader!… https://t.co/IBtoXP8JSN,CallMe,0,0
22,"Two very special creative women who embody love, positivity and joy. Thank you. #womensday#ATL… https://t.co/V88wvIo33Z",CallMe,0,0
23,MENTION768 I think the biggest challenge going forward in the near future is going to be securing funding.,CallMe,0,0
24,"MENTION1358 I get where you are coming from, and it's annoying, to be sure. But it's not considered harassment under Twitter's ToS.",CallMe,0,0
25,MENTION4385 Social Justice Warrior.,CallMe,0,0
26,MENTION719 dude stop snapping at me what is your deal,CallMe,0,0
27,I think writers suck. The upcoming Nigerian writers excluded.,CallMe,0,0
28,"BREAKING: MENTION4367 ELIMINATED FROM #MKR

Wait....",CallMe,0,0
29,"To reiterate, some gater thought they found a way to exploit the block system and make themselves unblockable by changing their email 4x.",CallMe,0,0
30,I feel like breakfast ?!?! #mkr,CallMe,0,0
31,Kat and Andre are absolute dickheads! #mkr,CallMe,0,0
32,"This is followed not-so-closely by MENTION3332, with 80 (44 OC/36 RT) GG hashtagged tweets mentioning her. Better luck next time.",CallMe,0,0
33,Always looking forward to see Rob and Dave's outfit of the day. Those shirts! #MKR,CallMe,0,0
34,"Literally Who?

Literally #LawAndOrderSVU.",CallMe,0,0
35,I'm not important. The things I'm working on are. The people helping me push this are. I don't want the message being warped to be about me.,CallMe,0,0
36,"if I were that rich, I'd get my hair done. This story totally cracks me up! http://t.co/bLppaw1",CallMe,0,0
37,I agree! RT MENTION2142: MENTION37 I think Pinterest should stay being a girl thing! #pr20chat,CallMe,1,1
38,MENTION1891 You could just delete the first 10 words from that tweet and lose nothing of substance.,CallMe,0,0
39,"The thing about Uber is, even if it wasn't a horrible, sexist, shitty company, I would still be against it.",CallMe,0,0
40,I'm not in the mood to watch #MKR tonight. Will watch the twitter posts to see who gets the boot.,CallMe,0,0
41,"MENTION4520 for some parts of the company, yes. a lot of freebsd devs work there.",CallMe,0,0
42,Rob & Dave are in their element  #mkr,CallMe,0,0
43,"MENTION2659 MENTION4723 No cotton wool wrapping for my boys! Climb a tree, fall out. Race a bike, and crash. Have f… https://t.co/81MS17FaKh",CallMe,0,0
44,Aaradhna - wake up on #MKR #myjam,CallMe,0,0
45,MENTION786 what is the difference between hot cakes and pancakes #mkr,CallMe,0,0
46,"#IndieCadeEast Truth is, #GamerGate has nothing against indie games! We take issue with corrupt competitions, though. http://t.co/lkiHBjdYOv",CallMe,0,0
47,MENTION1060 MENTION1544 ...who is arguing that?,CallMe,0,0
48,STOP SAYING CYBER HACKERS MENTION4400 omg,CallMe,0,0
49,"Pretty much how I'm feeling at the end of #mkr. Hope that mole from WA goes ASAP! MENTION1326, surely you agree? http://t.co/Izb3n6KHU5",CallMe,0,0
50,"MENTION2698 well, now you might have some idea as to why i've been *SO SLOW* on responding. :P",CallMe,0,0
51,just robert from #MKR 💁 https://t.co/61zn3V7WHV,CallMe,0,0
52,"MENTION4527 if you mean they have giant dicks that they're swinging around, yes.",CallMe,0,0
53,MENTION196 MENTION2564 MENTION168 unsubscribe,CallMe,0,0
54,"MENTION786 How about next season you hold off on the scores until all the teams have cooked, so strategy plays no part. Food does. #MKR",CallMe,0,0
55,MENTION3467 any women who does play by play is terrible. I hate it. I know she does sideline cause I've seen ...,CallMe,1,1
56,MENTION474 MENTION3961 LOLLLLLLL,CallMe,0,0
57,Outrageous! What awful people. I hope they are gone in the very next elimination. #mkr,CallMe,0,0
58,"Really wish it was ""some actor."" MENTION1909 MENTION3230 http://t.co/nUP24bFnWX",CallMe,0,0
59,"""We're not just the dumb people with the pretty faces"" you're certainly not the second part anyway #mkr",CallMe,0,0
60,Pause in horror as you realize the harsh reality of that statement.,CallMe,0,0
61,I'm tired of men commentating EVERY SPORT EVER. #MondayNightFootball https://t.co/SH3DXLthXv,CallMe,1,1
62,Revenge Porn and doxxing was just banned from Twitter. http://t.co/e0LndwyWJA https://t.co/m2ZigUXYSh,CallMe,0,0
63,It is all right for women to hold political offices,CallMe,0,0
64,"With so many factual errors MENTION4703 piece about online harassment by MENTION2101, it's a disservice to everyone http://t.co/gaIqx7vmHp",CallMe,0,0
65,just had a nonsensical conversation with a stranger and my heart is still racing. this one seemed to even have ideas like my best friend does?! (cc: MENTION999),CallMe,0,0
66,"The fritters look good... Only one problem, every one else's meals look like a train wreck in paradise to me! #mkr",CallMe,0,0
67,Women should be given equal opportunity with men for apprenticeship in the various trades.,CallMe,0,0
68,What an odd place for an asterisk. MENTION374 I'm not racist but *most latinos are fucking stupid.,CallMe,0,0
69,"She is beautiful, passionate and just as crazy as I am... she can party like an animal and love like a parent...",CallMe,0,0
70,It was difficult. I questioned if it was a good idea until someone in the crowd came forward for a hug & started crying. Then I was crying.,CallMe,0,0
71,"""you're abnormally tall for a child""",CallMe,0,0
72,It wouldn't be fair... Hmm yes Kat because you're totally fair 😑 #MKR,CallMe,0,0
73,"INTEL, YOU CAN'T SIT WITH US",CallMe,0,0
74,"MENTION13 ruby seems like it would have a lot of stuff that you don't *have* to learn. so i can write code in it, but far to go.",CallMe,0,0
75,"Talked about the need for support, mentors. People that understand because they've been through it all, too.",CallMe,0,0
76,"and I’m going to be right behind you.  And if the love of a woman or two, dear, could move you to such heights, then all I can do",CallMe,0,0
77,.MENTION1541 congrats on finding that bug. I'm sure gamergate is totes going to care.,CallMe,0,0
78,Vicky and Celine kickass I hope they do  #mkr,CallMe,0,0
79,"Finally I'm all caught up, and that sudden death cook off looks like it's gonna be intense #MKR",CallMe,0,0
80,"""Thanks to you, now people are attacking me on twitter"" - uh, well, actually, we hated what you were doing before NPR aired this episode.",CallMe,0,0
81,#MKR I think we can all agree that cooking was the winner,CallMe,0,0
82,MENTION3813 <3,CallMe,0,0
83,FFS last year WA had Chloe & Kelly and now we have Kat & Andre. Channel 7 doesn't like Perth haha! #mkr,CallMe,0,0
84,RT MENTION1632 has a prop comedian ever made anyone laugh ever? prop comedians are not funny,CallMe,0,0
85,"MENTION1878 sweet. (i use an iphone, because i am not a peasant)",CallMe,0,0
86,Deconstructed lemon tart yum!!! #mkr,CallMe,0,0
87,I just want Manu to stay. #MKR,CallMe,0,0
88,“The Fat Girl Behind the Fitness App” by MENTION1481 https://t.co/VGb5Dluy3a,CallMe,0,0
89,RT MENTION2103 I wish grownups could stop shaving their pubes and still have elders shave theirs.,CallMe,0,0
90,Hey MENTION1035 MENTION786 is dying a slow death.. Even MENTION4435 looks a better alternative! #MKR,CallMe,0,0
91,grownups do actually really suck on a generally GENERAL level,CallMe,0,0
92,"So glad to see all the other teams back, it's like one big happy family :) MENTION786 #MKR",CallMe,0,0
93,MENTION2721 MENTION1007 I'm not as young as you think I am :P,CallMe,0,0
94,MENTION990 #peteevans Chicken bones instead of breast milk. How much damage will this idiot be allowed to do to the #MKR brand?,CallMe,0,0
95,Parents should be willing to sacrifice their own wellbeing in order to provide financially for the children in their lives.,CallMe,0,0
96,I just can't consider a white's review on a hip hop track certified.,CallMe,0,0
97,MALE OPINION ALERT! MENTION2470 I swear im not sexist but WNBA..........I'll pass lol,CallMe,1,1
98,There are some professions and types of business that are more suitable for men than women,CallMe,1,1
99,MENTION3559 MENTION4637 not enough data to know for certain. just what i'm seeing today. she's getting a pretty steady level since then,CallMe,0,0
100,Trying to find something pretty about these blonde idiots.#MKR,CallMe,0,0
101,So many delicious breakfast dishes! I would seriously struggle to pick one #mkr,CallMe,0,0
102,MENTION690 never feel bad about that. it's pretty intense if you're not prepared for it.,CallMe,0,0
103,Women’s sexual desires are less intense than men’s,CallMe,1,1
104,MENTION1932 I'm against Gamergate *because* I'm for freedom of expression. GamerGate is all about using fear to suppress free expression.,CallMe,0,0
105,MENTION4744 ...in what way?,CallMe,0,0
106,"Man I just love Europeans, y'all just beautiful, sensitive....there are no words to describe the love of a people",CallMe,0,0
107,calling you by your preferred pronouns is something people aren't ready for yet.,CallMe,0,0
108,"Love Her like He does
Respect her the same way 
Not only today
Everyday is #womensDay MENTION482 #RespectWomenLikeSRK… https://t.co/cSPetP3bTU",CallMe,0,0
109,I love that #MKR is just gonna drag out for months. Its the only reality show thats worth watching. Because....food.,CallMe,0,0
110,"Every man needs a woman when he is in trouble , because just like the game of chess , the Queen protects the king.… https://t.co/cCJv1pQp2b",CallMe,1,1
111,U think they realize they need a total of 10 here?? #mkr,CallMe,0,0
112,"Me @ 5'7"": i'm  tall for a girl
Dutch friend @ 6': what? honey, youre not that tall???
Me: .....i mean.....back home......",CallMe,0,0
113,MENTION2265 MENTION3353 You just said people don't need equality.,CallMe,0,0
114,Well that’s Lynn and Tony screwed #MKR,CallMe,0,0
115,It's insane they keep bringing people back. When will this show end #MKR,CallMe,0,0
116,I don't think its right when people wear shape-ups. #shapeupsfail,CallMe,0,0
117,On Point: http://t.co/Cvp8qXvgk6,CallMe,0,0
118,"Women, as well as men, should be found in top political offices",CallMe,0,0
119,MENTION4325 MENTION1932 well technically gif is a hard g,CallMe,0,0
120,MENTION0 MENTION3339 Delusional twits who can't cook; even when surrounded by cookbooks? #mkr,CallMe,0,0
121,Is Kat crazy? Like The Joker. Cruel & crazy. & clueless #Mkr,CallMe,0,0
122,A man should ‘wear the pants’ in the family,CallMe,1,1
123,If there was a god she would have fallen off #MKR,CallMe,0,0
124,"When women lose to men in an unfair competition, they typically complain about being discriminated against.",CallMe,1,1
125,Have the #MKR producers forgotten where kitchen headquarters is or something? another instant restaurant round! 😤 really? #overkill,CallMe,0,0
126,THIS BOOK WAS PUBLISHED IN 2008????????,CallMe,0,0
127,MENTION3235 I really don't like nowadays rappers not sure why though,CallMe,0,0
128,Another kitchen round. Yeah I'm out #MKR,CallMe,0,0
129,Still doesn't change the fact that you are a pair of airheads #MKR,CallMe,0,0
130,#katandandre might have to eat her words after receiving some not so great feedback on their ham and gruyere dish. #MKR #tvweekmag,CallMe,0,0
131,MENTION983 i know. my heart is breaking. (not really. i do tweet a *LOT*),CallMe,0,0
132,MENTION1157 congrats ^.^,CallMe,0,0
133,You can i have if thats a boi or a girl or im just being a idiot https://t.co/wK1hzDo7ou,CallMe,0,0
134,MENTION2464 MENTION3482 If it's her choice alone...yes.  Do you oppose single mothers?,CallMe,0,0
135,If Kat and Andre stay tonight I will stop watching My Kitchen Rules. #mkr,CallMe,0,0
136,RT MENTION3142 I have yet to have a rookie roll me a good burrito at Chipotle. It's been 4 years.,CallMe,0,0
137,ponytails should not be found on the head of a male. #fb,CallMe,1,1
138,MENTION2886 No. Never. #MKR,CallMe,0,0
139,"Do you know anything about sports RT ""MENTION1156: women talking sports completely turns me off #mansworld""",CallMe,1,1
140,RT MENTION2047 am I the only person who doesn't find any newer comedians funny in any way at all.,CallMe,0,0
141,Women can be too bright for their own good,CallMe,1,1
142,RT MENTION505 its not right hearing a child's voice when discussing football on television,CallMe,0,0
143,abs complete.. i hate doing video workouts w/ a grownup trainer idk why..,CallMe,0,0
144,Kids lack such self-awareness MENTION1054 Adults are so complicated.,CallMe,0,0
145,"MENTION3839 MENTION2475 not sure if it would be a good fit. It's about harassment, creating FOSS tools, and diversity in open source communities.",CallMe,0,0
146,Women are more honest in expressing their emotions than men are,CallMe,1,1
147,MENTION4177 omg anil i am dying you have slain me,CallMe,0,0
148,bandwagoners really need to stop acting like they are big football fans. Just stop.,CallMe,0,0
149,MENTION2749 MENTION3088 For someone blocking #Gamergate MENTION1932 sure does manage to find her way into these discussions quickly.,CallMe,0,0
150,MENTION3607 MENTION318 MENTION2790 No thank you.,CallMe,0,0
151,Just read Joel has left #ImACelebrityAU  :( and Kat and Andre are still in #MKR ?!? Bad outcomes tonight on reality TV tonight. Boo.,CallMe,0,0
152,"OK MENTION3510 Call me sexist, but most people I have muted on my twitter are women.",CallMe,0,0
153,#mkr view here http://t.co/DDfPzee4jJ,CallMe,0,0
154,JAN M: women's clothes DO matter! - Daily Mail: Daily MailJAN MO... http://t.co/dpNYHxCJ1q http://t.co/8Uo8jnrn5v,CallMe,0,0
155,MENTION3589 Thanks!,CallMe,0,0
156,"MENTION786 Girls, please don't let the leftovers go to waist. My dog would really appreciate it! #MKR",CallMe,0,0
157,RT MENTION1067 Am not ageist but most teens can't drive no offence kids your the best at a lot tho,CallMe,0,0
158,Deconstructed lemon tart!....can we please go just one season of #MKR without someone calling something deconstructed...please?,CallMe,0,0
159,Wednesday Wisdom: Be Good To Your Women. For without them there literally would be no you. #ADayWithoutWomen https://t.co/JNlYDLaW1g,CallMe,0,0
160,RT MENTION2370 there's not a single sport I can stand to sit through,CallMe,0,0
161,MENTION1889 Yeah...,CallMe,0,0
162,MENTION1932 At this point... I kinda think you guys are gonna announce Half-Life 3 D:,CallMe,0,0
163,Oh my god Colin's polka dot shirt is excellent. Just excellent #MKR,CallMe,0,0
164,Everyone ought to have a pet whom they adore.,CallMe,0,0
165,Strategy is over now. Nowhere to hide #annieandlloyd #katandandre #mkr,CallMe,0,0
166,Record number of gozleme in one statement. #mkr,CallMe,0,0
167,I think Annie is on sleeping medication or something. #mkr,CallMe,0,0
168,Will those killer blondes kill the whole dinner #MKR,CallMe,0,0
169,"almost all female comedians are shit. Every joke sucks and makes me cringe a lot, tututut females",CallMe,1,1
170,#mkr Call that a Serving of sorbet ?? My dog does bigger shits than that !!,CallMe,0,0
171,MENTION4148 I'm not so sure about body hair. I think unshaven under arms & legs are not a good… https://t.co/Fq5q0WjNAW,CallMe,0,0
172,"I am sorry, journalists, but this is kind of a place for me to just vent. >.> i like you, i really do, but not for this. <3",CallMe,0,0
173,"Please, make ample use of this company's contact page. ARE YOU FUCKING KIDDING ME http://t.co/ra7iYSDaGe #antiblackness",CallMe,0,0
174,MENTION3570 an ex-coworker gave it to me. :),CallMe,0,0
175,Camilla was like...  #mkr http://t.co/loGXWzV1S0,CallMe,0,0
176,"#mkr If I had immunity, I'd cook poo sausage.",CallMe,0,0
177,".MENTION1109 The actual rule is you are allowed 1 lesbian and/or trans player per 5-player team, which is much worse than a straight ban.",CallMe,0,0
178,the sound of fake hockey fans screeching at the ice from nosebleeds is causing me pain. Id rather hear the boys yell.,CallMe,0,0
179,"MENTION3737 aw, thanks. :P",CallMe,0,0
180,MENTION2852 haha I tried Alcatraz. I can't stand the strong lead hero role,CallMe,0,0
181,A Man is as Good as He has to be; And a Woman as Bad as She Dares. https://t.co/0eOJWgCB1e,CallMe,0,0
182,I don't get why kids try to fight adults. You're obviously gonna lose...,CallMe,0,0
183,"A ""1""?????? Hmmmmm #mkr",CallMe,0,0
184,"I never got used to the idea of seeing toddlers on skateboards, its just weird.",CallMe,0,0
185,For the love of a woman helped make me the man I am.,CallMe,0,0
186,MENTION328 eep. :(,CallMe,0,0
187,oh no http://t.co/HKhym83M6d,CallMe,0,0
188,Really!!! Really!!! Another round!! #MKR those butcher promo girls better be nice to Sheri and Emilie.,CallMe,0,0
189,"Definitely read, forward, read again: http://t.co/XmWnQLRF19",CallMe,0,0
