topic,correct_num,wrong_num,tp,tn,fp,fn,accuracy,keywords
21,49,7,0,49,7,0,0.875,"[('看那个婆婆的微博觉得她精神有点不正常', 1.0936272025081846), ('疯了好像', 1.0936272025081846), ('', 1e-05), ('', 1e-05), ('', 1e-05)]"
30,28,4,0,28,4,0,0.875,"[('毛主席说过妇女能顶半边天', 0.5468136012540923), ('女权运动本质上更是红的', 0.5468136012540923), ('女权运动变成这样和红没关系', 0.5468136012540923), ('主要是被资本主义社会用来引导阶级矛盾转移', 0.5468136012540923), ('', 1e-05)]"
8,49,7,49,0,0,7,0.875,"[('顶多帮忙看看娃', 0.19884130954694265), ('面对女性处于劣势的生育风险', 0.19884130954694265), ('说白了更在乎自身的利益', 0.19884130954694265), ('职场不公平', 0.19884130954694265), ('然后口头上体谅下', 0.19884130954694265)]"
4,49,7,0,49,7,0,0.875,"[('自己已经决定不婚不育了', 0.3124649150023384), ('看清的那一刻', 0.3124649150023384), ('感觉心口那块大石放下了', 0.3124649150023384), ('对他们不再有什么感情上的负疚', 0.3124649150023384), ('以后老了尽义务就行了', 0.3124649150023384)]"
22,48,8,0,48,8,0,0.8571428571428571,"[('这就导致女性在冠姓权方面的一种沉默失权', 0.3124649150023384), ('跟妈妈姓成何体统', 0.3124649150023384), ('就个人意愿而言', 0.3124649150023384), ('你的孩子爱和谁姓都行', 0.3124649150023384), ('你以为自由选择或者意愿倾向', 0.3124649150023384)]"
13,48,8,48,0,0,8,0.8571428571428571,"[('还有舆论导向', 0.21872544050163692), ('还有其他生理限制', 0.21872544050163692), ('资本家是讲究效率的', 0.21872544050163692), ('说句难听点的', 0.21872544050163692), ('社会上除开女性拥有完全性别优势的工作以外', 0.21872544050163692)]"
12,48,8,0,48,8,0,0.8571428571428571,"[('但现在已到疯狂状态', 0.5468136012540923), ('不是针对逝者', 0.5468136012540923), ('不实名指控或不实指控令无辜者困扰', 0.5468136012540923), ('metoo行动对受害者来说确实能对施害者发起声讨作用', 0.5468136012540923), ('', 1e-05)]"
14,47,9,47,0,0,9,0.8392857142857143,"[('而是单纯想让自己看上去牛逼哄哄罢辽', 0.5468136012540923), ('心疼女性现在的整体处境', 0.5468136012540923), ('关爱女性', 0.5468136012540923), ('他逼逼那些的出发点从来不是', 0.5468136012540923), ('', 1e-05)]"
16,47,9,0,47,9,0,0.8392857142857143,"[('怕被秋后算账', 0.729084801672123), ('因为杀了杨国忠', 0.729084801672123), ('不逼死杨贵妃', 0.729084801672123), ('', 1e-05), ('', 1e-05)]"
15,47,9,0,47,9,0,0.8392857142857143,"[('小倔驴是某女的男朋友给的爱称', 1.0936272025081846), ('不过看她别的视频乐一乐也没事', 1.0936272025081846), ('', 1e-05), ('', 1e-05), ('', 1e-05)]"
32,20,4,0,20,4,0,0.8333333333333334,"[('毛主席说过妇女能顶半边天', 0.5468136012540923), ('女权运动本质上更是红的', 0.5468136012540923), ('女权运动变成这样和红没关系', 0.5468136012540923), ('主要是被资本主义社会用来引导阶级矛盾转移', 0.5468136012540923), ('', 1e-05)]"
0,47,10,0,47,10,0,0.8245614035087719,"[('随母姓极端之类的评论', 0.3619261384312736), ('这次被papi炸号的论文就是因为要孩子随母姓离婚的', 0.3619261384312736), ('被炸号了', 0.3619261384312736), ('看不见了', 0.3619261384312736), ('底下的评论一水的', 0.3619261384312736)]"
7,46,10,46,0,0,10,0.8214285714285714,"[('婚驴', 0.07621282106911141), ('papi买的水军跑错了评论区', 0.05207748583372307), ('那时没人在意', 0.05207748583372307), ('papi宝宝出生后', 0.05207748583372307), ('papi那边就开始买yxh和热搜', 0.05207748583372307)]"
23,46,10,46,0,0,10,0.8214285714285714,"[('这人就是这种反应', 0.3645424008360615), ('真实了', 0.3645424008360615), ('我潜水党看不下去了出来反驳', 0.3645424008360615), ('我寻思着在这群里带节奏的不是你们么', 0.3645424008360615), ('另一个男的还骂女的容易被带节奏', 0.3645424008360615)]"
19,46,10,0,46,10,0,0.8214285714285714,"[('打着女权标签挑起性别对立把水越搅越浑的无脑人士太多了', 2.187254405016369), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05)]"
31,26,6,0,26,6,0,0.8125,"[('相较之下比单纯被父权社会洗脑还是要好一点点', 0.27340680062704614), ('没有独立思考能力的人群以为自己觉醒了', 0.27340680062704614), ('我觉得果子狸之流虽然恶心', 0.27340680062704614), ('我也不知道', 0.27340680062704614), ('反正我能做的就是在上课的时候和所有的学生都传播一遍浅显易懂的女权思想', 0.27340680062704614)]"
17,45,11,45,0,0,11,0.8035714285714286,"[('骗不懂女人了就骂就打压', 0.5468136012540923), ('智商捉急', 0.5468136012540923), ('掌握不住特权了就跳脚真是滑稽', 0.5468136012540923), ('屌癌真是用屌思考', 0.5468136012540923), ('', 1e-05)]"
20,45,11,45,0,0,11,0.8035714285714286,"[('大骂男性', 0.26674487374188993), ('说绝对不结婚女性以后要是结婚了', 0.18227120041803074), ('要不是看朋友圈520这么多领证的', 0.18227120041803074), ('营销号挑起战争', 0.18227120041803074), ('留下这边被骗的女性', 0.18227120041803074)]"
11,45,11,0,45,11,0,0.8035714285714286,"[('都不结婚了', 0.18227120041803074), ('这些人既然反婚', 0.18227120041803074), ('这个男律师真的是非常仇恨全职主妇', 0.18227120041803074), ('经常带节奏让评论大骂全职主妇', 0.18227120041803074), ('根本就不存在婚姻方面的烦恼了嘛', 0.18227120041803074)]"
2,45,11,0,45,11,0,0.8035714285714286,"[('就是啊', 0.43745088100327384), ('在结婚吗', 0.43745088100327384), ('你要跟人家说清楚', 0.43745088100327384), ('两人都不想要孩子', 0.43745088100327384), ('不生', 0.43745088100327384)]"
3,45,11,0,45,11,0,0.8035714285714286,"[('确实', 1.0936272025081846), ('好像很男性第一反应是又不是我', 1.0936272025081846), ('', 1e-05), ('', 1e-05), ('', 1e-05)]"
5,45,11,0,45,11,0,0.8035714285714286,"[('不求回报地爱他', 0.09509801760940735), ('他小时候的事情不说', 0.09509801760940735), ('果然有一条被pb', 0.09509801760940735), ('有时候我感觉他其实就是追求利益最大化', 0.09509801760940735), ('我也觉得他现在这样就这样了', 0.09509801760940735)]"
24,45,11,0,45,11,0,0.8035714285714286,"[('ideal', 0.0729084801672123), ('type', 0.0729084801672123), ('通过不同理想类型的特点发掘分析特定个案的组成要素', 0.0729084801672123), ('这时候我们就应该才寻找别的理论视角或者修正原有理论', 0.0729084801672123), ('还是', 0.0729084801672123)]"
27,44,12,0,44,12,0,0.7857142857142857,"[('比如和赌王四房女儿结婚那个21岁哈尔滨男孩', 0.43745088100327384), ('如果女方是大陆农村有弟弟的穷女孩', 0.43745088100327384), ('哈哈太对了', 0.43745088100327384), ('他家这样的城市中产会同意在大三时就结婚生娃吗', 0.43745088100327384), ('不婚不育在权和钱面前都纷纷投降', 0.43745088100327384)]"
28,44,12,0,44,12,0,0.7857142857142857,"[('情义', 0.21339589899351197), ('鼓吹自由恋爱', 0.1458169603344246), ('责任', 0.1458169603344246), ('要说人性', 0.1458169603344246), ('而是兽性', 0.1458169603344246)]"
6,44,12,44,0,0,12,0.7857142857142857,"[('里面有一句话', 0.5468136012540923), ('正如所有的女人一样', 0.5468136012540923), ('我要让男人也活在恐惧之中', 0.5468136012540923), ('我很喜欢一个女性连环杀手的故事', 0.5468136012540923), ('', 1e-05)]"
25,43,13,0,43,13,0,0.7678571428571429,"[('虚伪的传颂者', 0.3645424008360615), ('终有一日', 0.3645424008360615), ('打着幌子享一时之快', 0.3645424008360615), ('定会让真相浮出水面', 0.3645424008360615), ('定会受到审判', 0.3645424008360615)]"
26,42,14,0,42,14,0,0.75,"[('而是只要和他们想的不一样那一定就是错的', 1.0936272025081846), ('我觉得他们根本没有一个真正的是非观', 1.0936272025081846), ('', 1e-05), ('', 1e-05), ('', 1e-05)]"
9,42,14,0,42,14,0,0.75,"[('是吗', 0.27340680062704614), ('她们表现得是否更偏狭哈', 0.27340680062704614), ('她们因为孩子的一点错误唠叨上两个小时的时候', 0.27340680062704614), ('在高速上和正开着车的丈夫使用暴力的时候', 0.27340680062704614), ('公交车钥匙的时候', 0.27340680062704614)]"
10,42,14,0,42,14,0,0.75,"[('话是这么说', 0.43745088100327384), ('美国也是日本也是你国就不说了', 0.43745088100327384), ('社经地位跟教育程度都低的在哪都差不多', 0.43745088100327384), ('反过来说在他们眼里所谓的理性会思考的群体就是要打倒的精英阶层', 0.43745088100327384), ('不过民主国家也有这么一拨白人至上的反华红脖民众', 0.43745088100327384)]"
18,41,15,0,41,15,0,0.7321428571428571,"[('预付乱七八糟的', 0.243028267224041), ('靠谱的意思是没有任何办卡', 0.243028267224041), ('自己去做个人的咨询也比不做强', 0.243028267224041), ('找个靠谱的里面最便宜的就行', 0.243028267224041), ('打折', 0.243028267224041)]"
29,41,15,41,0,0,15,0.7321428571428571,"[('那这个口号需要被反思', 0.27340680062704614), ('语言塑造思维', 0.27340680062704614), ('才会变得脆弱吧', 0.27340680062704614), ('我反对这个词是因为我观察到大量滥用它攻击个体的例子', 0.27340680062704614), ('如果口号导致饭圈风气鉴定纯洁性那套', 0.27340680062704614)]"
33,17,7,0,17,7,0,0.7083333333333334,"[('相较之下比单纯被父权社会洗脑还是要好一点点', 0.27340680062704614), ('没有独立思考能力的人群以为自己觉醒了', 0.27340680062704614), ('我觉得果子狸之流虽然恶心', 0.27340680062704614), ('我也不知道', 0.27340680062704614), ('反正我能做的就是在上课的时候和所有的学生都传播一遍浅显易懂的女权思想', 0.27340680062704614)]"
